rowid,Currency Symbol,Total Records,Merchant,Affiliate ID,Username,Site ID,Creative ID,Creative Name,Type,Member ID,Registration Date,Member Name,membercountry,ACID,Deposits,Net trans_to_fee,trans_value,% Commission,CPA Commission,CPA count,Total Commission,New
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1471477,7/14/2014,47125851,GB,,3342.3955,95.1203,4103.0543,19.0241,0,0,16.47108225,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1565401,11/29/2015,68948650,GB,,0,1.3522,71.0675,0.2705,0,0,0.234199134,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1741483,42625,88701953,GB,,0,9.9345,246.7976,1.9868,0,0,1.72017316,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1804521,1/16/2017,89713767,RO,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1844601,1/30/2017,90126305,GB,,2.3345,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1949537,4/14/2017,92424070,GB,,0,2.1131,79.9404,0.4226,0,0,0.365887446,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,2029337,42891,93072857,GB,,0,0.2926,19.5046,0.0585,0,0,0.050649351,1
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,2031579,5/13/2017,93247967,GB,,129.4617,1.9183,127.8858,0.3837,0,0,0.332207792,1
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1130134,2/4/2013,37571215,GB,,0,1.1185,25.5964,0.2237,0,0,0.193679654,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1130148,5/7/2014,46129321,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1132906,42163,63492801,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1132908,11/23/2015,68605472,HR,,0,61.2178,2577.7338,12.2436,0,0,10.60051948,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1577340,6/9/2016,79128699,GB,,0,47.6662,2166.4199,9.5332,0,0,8.253852814,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1588238,8/15/2016,82553696,GB,,0,1.4091,16.3284,0.2818,0,0,0.243982684,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1895780,43011,91370237,RO,,0,117.3029,3333.4491,23.4606,0,0,20.31220779,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1909100,3/20/2017,91686575,SE,,5.7991,42.4193,2091.5866,8.4838,0,0,7.345281385,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1954142,4/17/2017,92503350,GB,,0,38.0063,917.7429,7.6014,0,0,6.581298701,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1974546,4/29/2017,92874117,GB,,1.329,3.8896,147.6146,0.778,0,0,0.673593074,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1123952,41823,45211940,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1128066,41799,47917824,GB,,156.8235,8.5588,191.5102,1.7118,0,0,1.482077922,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1129786,3/25/2013,38641694,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1130136,2/17/2013,37850225,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1132694,4/20/2013,39192654,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1471472,7/3/2013,40753045,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1609616,9/13/2016,83939902,GB,,0,10.8329,239.3377,2.1666,0,0,1.875844156,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1735512,42533,88583740,GB,,0,31.3094,1565.466,6.2619,0,0,5.421558442,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1956152,4/18/2017,92543735,GB,,0,2.7509,129.5393,0.5501,0,0,0.476277056,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,2006856,42983,93137288,GB,,0,200.588,8109.5509,40.1176,0,0,34.73385281,1
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,2049556,40674,26374993,GB,,90.1914,6.5057,192.3836,1.3012,0,0,1.126580087,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1123953,5/13/2014,46224010,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1123955,7/22/2014,47241327,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1128063,5/15/2014,46249689,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1132911,42587,77401055,GB,,0,77.0133,2071.1251,15.4027,0,0,13.335671,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1532959,42710,79302654,GB,,0,1.2832,14.0979,0.2566,0,0,0.222164502,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1541129,42526,77309354,GB,,0,2.4982,64.4522,0.4996,0,0,0.432554113,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1779233,42795,89348356,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1848471,42949,90442247,GB,,0,27.1653,791.9711,5.433,0,0,4.703896104,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1938103,42920,92214782,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,2006857,42983,93137460,GB,,3236.7063,194.1553,8621.2178,38.8311,0,0,33.62,1
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,2029335,1/20/2016,71708227,BY,,0,1.7108,49.7746,0.3422,0,0,0.296277056,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1135366,2/27/2013,38080538,GB,,0,9.4563,301.8138,1.8913,0,0,1.637489177,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3300,English Skrill Homepage,Text Links,1541128,4/16/2014,45804860,GB,,0,0,0,0,0,0,0,0
1,$,85,Skrill,37901,couponarbitrage2016,40278,3321,VIP promo Link,Text Links,1917643,3/25/2017,91835303,GB,,1.9266,0,0,0,0,0,0,0
2,$,85,,,,,,,,,,,,,16967.9571,4110.2819,133110.1318,822.0564,0,0,711.7371429,85
